id,description,recipe_id,measure,parsedName,quantity,cleanDescription,,Store Section
16522,2 tablespoons olive oil,2052,tablespoon,olive oil,2,2 tablespoons olive oil,,
16523,2 tablespoons liquid amino acid (such as Bragg®),2052,,,,2 tablespoons liquid amino acid (such as Bragg®),,
16524,2 teaspoons liquid smoke flavoring,2052,teaspoon,liquid smoke flavoring,2,2 teaspoons liquid smoke flavoring,,
16525,"3 pounds spinach, rinsed",2218,pound,spinach,3,"3 pounds spinach, rinsed",,
16526,2 teaspoons olive oil,2218,teaspoon,olive oil,2,2 teaspoons olive oil,,
16527,2 tablespoons toasted pine nuts,2218,tablespoon,pine nuts,2,2 tablespoons toasted pine nuts,,
16528,1 teaspoon minced garlic,2218,teaspoon,garlic,1,1 teaspoon minced garlic,,
16529,freshly ground black pepper,2218,,black pepper,,freshly ground black pepper,,
16530,1 cup almond butter,2629,cup,almond butter,1,1 cup almond butter,,
16531,1 cup packed brown sugar,2629,cup,brown sugar,1,1 cup packed brown sugar,,
16532,⅔ cup shortening,2629,cup,shortening,,2/3 cup shortening,,
16533,⅓ cup vegan margarine,2629,cup,vegan margarine,,1/3 cup vegan margarine,,
16534,"1  overripe banana, mashed",2629,,,,"1  overripe banana, mashed",,
16535,2 ½ cups all-purpose flour,2629,,,,2 1/2 cups all-purpose flour,,
16536,1 ½ teaspoons baking soda,2629,,,,1 1/2 teaspoons baking soda,,
16537,1 teaspoon baking powder,2629,teaspoon,baking powder,1,1 teaspoon baking powder,,
16538,½ teaspoon salt,2629,teaspoon,salt,2-Jan,1/2 teaspoon salt,,
16539,"1 tablespoon water, or as needed  (Optional)",2629,,,,"1 tablespoon water, or as needed  (Optional)",,
16540,"3 ounces dark chocolate, chopped",2629,ounce,dark chocolate,3,"3 ounces dark chocolate, chopped",,
16541,½ cup white sugar,2629,cup,white sugar,2-Jan,1/2 cup white sugar,,
16542,36  whole blanched almonds  (Optional),2629,,,,36  whole blanched almonds  (Optional),,
16543,1 cup grated summer squash,977,cup,summer squash,1,1 cup grated summer squash,,
16544,¼ cup chopped onion,977,cup,onion,4-Jan,1/4 cup chopped onion,,
16545,"1  jalapeno pepper, chopped",977,,,,"1  jalapeno pepper, chopped",,
16546,¾ cup rice flour,977,cup,rice flour,4-Mar,3/4 cup rice flour,,
16547,½ cup gluten-free flour,977,cup,gluten-free flour,2-Jan,1/2 cup gluten-free flour,,
16548,2 tablespoons flaxseed meal,977,tablespoon,flaxseed meal,2,2 tablespoons flaxseed meal,,
16549,1 ½ teaspoons baking powder,977,,,,1 1/2 teaspoons baking powder,,
16550,1 cup water,977,cup,water,1,1 cup water,,
16551,cooking spray,977,,cooking spray,,cooking spray,,
16552,1 cup garbanzo beans,1294,cup,garbanzo beans,1,1 cup garbanzo beans,,
16553,"⅓ cup canned jalapeno pepper slices, juice reserved",1294,cup,jalapeno pepper,,"1/3 cup canned jalapeno pepper slices, juice reserved",,
16554,3 tablespoons tahini,1294,tablespoon,tahini,3,3 tablespoons tahini,,
16555,"3 cloves garlic, minced",1294,clove,garlic,3,"3 cloves garlic, minced",,
16556,2 tablespoons lemon juice,1294,tablespoon,lemon juice,2,2 tablespoons lemon juice,,
16557,½ teaspoon ground cumin,1294,teaspoon,cumin,2-Jan,1/2 teaspoon ground cumin,,
16558,½ teaspoon curry powder,1294,teaspoon,curry powder,2-Jan,1/2 teaspoon curry powder,,
16559,crushed red pepper to taste,1294,,red pepper,,crushed red pepper to taste,,
16560,3 tablespoons vegetable oil,1023,tablespoon,vegetable oil,3,3 tablespoons vegetable oil,,
16561,2 tablespoons tomato paste,1023,tablespoon,tomato paste,2,2 tablespoons tomato paste,,
16562,"8 ounces fresh green beans, cut into 1 inch pieces",1023,ounce,"green beans, cut into 1 inch pieces",8,"8 ounces fresh green beans, cut into 1 inch pieces",,
16563,½ cup water,1023,cup,water,2-Jan,1/2 cup water,,
16564,"1 large onion, cut into rings",1023,,onion,1,"1 large onion, cut into rings",,
16565,"1  green bell pepper, chopped",1023,,,,"1  green bell pepper, chopped",,
16566,½ teaspoon salt,1023,teaspoon,salt,2-Jan,1/2 teaspoon salt,,
16567,¼ teaspoon ground turmeric,1023,teaspoon,turmeric,4-Jan,1/4 teaspoon ground turmeric,,
16568,¼ teaspoon ground black pepper,1023,teaspoon,black pepper,4-Jan,1/4 teaspoon ground black pepper,,
16569,3 cups gluten-free rolled oats,2502,cup,gluten-free rolled oats,3,3 cups gluten-free rolled oats,,
16570,1 cup coconut sugar,2502,cup,coconut sugar,1,1 cup coconut sugar,,
16571,1 cup freshly squeezed orange juice,2502,cup,orange juice,1,1 cup freshly squeezed orange juice,,
16572,1 cup almond milk,2502,cup,almond milk,1,1 cup almond milk,,
16573,2 tablespoons orange zest,2502,tablespoon,orange zest,2,2 tablespoons orange zest,,
16574,1 ½ teaspoons gluten-free baking soda,2502,,,,1 1/2 teaspoons gluten-free baking soda,,
16575,1 teaspoon vanilla extract,2502,teaspoon,vanilla extract,1,1 teaspoon vanilla extract,,
16576,½ teaspoon salt,2502,teaspoon,salt,2-Jan,1/2 teaspoon salt,,
16577,¼ cup chia seeds,2689,cup,chia seeds,4-Jan,1/4 cup chia seeds,,
16578,1 cup water,2689,cup,water,1,1 cup water,,
16579,1 cup cashew flour,2689,cup,cashew flour,1,1 cup cashew flour,,
16580,¼ cup ground flax seed,2689,cup,flax seed,4-Jan,1/4 cup ground flax seed,,
16581,2 tablespoons coconut flour,2689,tablespoon,coconut flour,2,2 tablespoons coconut flour,,
16582,2 tablespoons tapioca starch,2689,tablespoon,tapioca starch,2,2 tablespoons tapioca starch,,
16583,1 tablespoon ground cinnamon,2689,tablespoon,cinnamon,1,1 tablespoon ground cinnamon,,
16584,1 teaspoon baking soda,2689,teaspoon,baking soda,1,1 teaspoon baking soda,,
16585,½ teaspoon salt,2689,teaspoon,salt,2-Jan,1/2 teaspoon salt,,
16586,1 cup chopped dates,2689,cup,dates,1,1 cup chopped dates,,
16587,1 cup chopped walnuts,2689,cup,walnuts,1,1 cup chopped walnuts,,
16588,1 cup shredded zucchini,2689,cup,zucchini,1,1 cup shredded zucchini,,
16589,⅓ cup applesauce,2689,cup,applesauce,,1/3 cup applesauce,,
16590,"2 tablespoons coconut oil, melted",2689,tablespoon,coconut oil,2,"2 tablespoons coconut oil, melted",,
16591,"1 fluid ounce liquid stevia, or to taste",2689,ounce,liquid stevia,1,"1 fluid ounce liquid stevia, or to taste",,
16592,"3 (10 ounce) cans diced tomatoes with green chile peppers, partially drained",887,,(10 ounce) cans diced tomatoes with green chile peppers,3,"3 (10 ounce) cans diced tomatoes with green chile peppers, partially drained",,
16593,1 (6 ounce) can tomato paste,887,,tomato paste,1,1 (6 ounce) can tomato paste,,
16594,1 bunch fresh cilantro leaves,887,bunch,cilantro leaves,1,1 bunch fresh cilantro leaves,,
16595,2 tablespoons lime juice,887,tablespoon,lime juice,2,2 tablespoons lime juice,,
16596,1 small onion,887,,onion,1,1 small onion,,
16597,2 large lemons,1955,,lemons,2,2 large lemons,,
16598,1 (16 ounce) package whole wheat penne,1955,,(16 ounce) package whole wheat penne,1,1 (16 ounce) package whole wheat penne,,
16599,"3 cloves garlic, minced",1955,clove,garlic,3,"3 cloves garlic, minced",,
16600,3 tablespoons olive oil,1955,tablespoon,olive oil,3,3 tablespoons olive oil,,
16601,2 tablespoons finely chopped fresh basil,1955,tablespoon,basil,2,2 tablespoons finely chopped fresh basil,,
16602,1 pinch salt and ground black pepper to taste,1955,pinch,salt and ground black pepper,1,1 pinch salt and ground black pepper to taste,,
16603,2 cloves crushed garlic,916,clove,garlic,2,2 cloves crushed garlic,,
16604,1 cup water,916,cup,water,1,1 cup water,,
16605,salt to taste,916,,salt,,salt to taste,,
16606,1 (8 ounce) package tempeh,916,,package tempeh,1,1 (8 ounce) package tempeh,,
16607,vegetable oil for frying,916,,vegetable oil,,vegetable oil for frying,,
16608,1 ½ cups water,728,,,,1 1/2 cups water,,
16609,1 cup steel-cut oats,728,cup,steel-cut oats,1,1 cup steel-cut oats,,
16610,1 cup almond milk,728,cup,almond milk,1,1 cup almond milk,,
16611,1 ½ tablespoons brown sugar,728,,,,1 1/2 tablespoons brown sugar,,
16612,¼ teaspoon ground cinnamon,728,teaspoon,cinnamon,4-Jan,1/4 teaspoon ground cinnamon,,
16613,1 pinch nutmeg,728,pinch,nutmeg,1,1 pinch nutmeg,,
16614,1 pinch ground ginger,728,pinch,ginger,1,1 pinch ground ginger,,
16615,1 pinch ground cloves,728,pinch,cloves,1,1 pinch ground cloves,,
16616,"½  sweet onion, chopped",933,,,,"1/2  sweet onion, chopped",,
16617,"½  green bell pepper, coarsely chopped",933,,,,"1/2  green bell pepper, coarsely chopped",,
16618,¼ cup fresh cilantro,933,cup,cilantro,4-Jan,1/4 cup fresh cilantro,,
16619,"5 slices pickled jalapeno peppers, or to taste",933,slice,jalapeno peppers,5,"5 slices pickled jalapeno peppers, or to taste",,
16620,"6  fresh tomatoes, quartered",933,,,,"6  fresh tomatoes, quartered",,
16621,2 teaspoons olive oil,933,teaspoon,olive oil,2,2 teaspoons olive oil,,
16622,2 teaspoons red wine vinegar,933,teaspoon,red wine vinegar,2,2 teaspoons red wine vinegar,,
16623,"½  lime, juiced",933,,,,"1/2  lime, juiced",,
16624,⅛ teaspoon salt,933,teaspoon,salt,,1/8 teaspoon salt,,
16625,1 tablespoon olive oil,826,tablespoon,olive oil,1,1 tablespoon olive oil,,
16626,"1  onion, diced",826,,,,"1  onion, diced",,
16627,"1 clove garlic, minced",826,clove,garlic,1,"1 clove garlic, minced",,
16628,"2 (20 ounce) cans green jackfruit in brine, drained and shredded (such as Trader Joe's®)",826,,,,"2 (20 ounce) cans green jackfruit in brine, drained and shredded (such as Trader Joe's®)",,
16629,1 (8 ounce) jar salsa,826,,jar salsa,1,1 (8 ounce) jar salsa,,
16630,1 (1 ounce) packet dry taco seasoning mix,826,,(1 ounce) packet dry taco seasoning mix,1,1 (1 ounce) packet dry taco seasoning mix,,
16631,4 tablespoons dry vegan egg replacer (such as VeganEgg®),793,,,,4 tablespoons dry vegan egg replacer (such as VeganEgg®),,
16632,½ cup ice cold water,793,cup,water,2-Jan,1/2 cup ice cold water,,
16633,1 ¾ cups almond milk,793,,,,1 3/4 cups almond milk,,
16634,1 ¾ cups all-purpose flour,793,,,,1 3/4 cups all-purpose flour,,
16635,½ cup almond flour,793,cup,almond flour,2-Jan,1/2 cup almond flour,,
16636,½ cup vegetable oil,793,cup,vegetable oil,2-Jan,1/2 cup vegetable oil,,
16637,1 tablespoon baking powder,793,tablespoon,baking powder,1,1 tablespoon baking powder,,
16638,1 tablespoon white sugar,793,tablespoon,white sugar,1,1 tablespoon white sugar,,
16639,2 teaspoons vanilla extract,793,teaspoon,vanilla extract,2,2 teaspoons vanilla extract,,
16640,nonstick cooking spray,793,,nonstick cooking spray,,nonstick cooking spray,,
16641,2 ½ pounds fresh green beans,594,,,,2 1/2 pounds fresh green beans,,
16642,2 ½ cups distilled white vinegar,594,,,,2 1/2 cups distilled white vinegar,,
16643,2 cups water,594,cup,water,2,2 cups water,,
16644,¼ cup salt,594,cup,salt,4-Jan,1/4 cup salt,,
16645,"1 clove garlic, peeled",594,clove,garlic,1,"1 clove garlic, peeled",,
16646,1 bunch fresh dill weed,594,bunch,dill weed,1,1 bunch fresh dill weed,,
16647,¾ teaspoon red pepper flakes  (Optional),594,,,,3/4 teaspoon red pepper flakes  (Optional),,
16648,"1 ½ pounds kabocha squash, peeled and cubed",1758,,,,"1 1/2 pounds kabocha squash, peeled and cubed",,
16649,¾ cup cassava flour,1758,cup,cassava flour,4-Mar,3/4 cup cassava flour,,
16650,2 pinches salt,1758,pinch,salt,2,2 pinches salt,,
16651,1 pinch ground nutmeg,1758,pinch,nutmeg,1,1 pinch ground nutmeg,,
16652,1 tablespoon olive oil,1758,tablespoon,olive oil,1,1 tablespoon olive oil,,
16653,4 leaves fresh sage,1758,,sage,4,4 leaves fresh sage,,
16654,1 tablespoon coconut milk,1758,tablespoon,coconut milk,1,1 tablespoon coconut milk,,
16655,1 teaspoon coconut milk,1758,teaspoon,coconut milk,1,1 teaspoon coconut milk,,
16656,⅛ teaspoon saffron,1758,teaspoon,saffron,,1/8 teaspoon saffron,,
16657,"2 tablespoons aged balsamic vinegar, or to taste",1758,tablespoon,balsamic vinegar,2,"2 tablespoons aged balsamic vinegar, or to taste",,
16658,1 tablespoon vegetable oil,2366,tablespoon,vegetable oil,1,1 tablespoon vegetable oil,,
16659,"1  onion, chopped",2366,,,,"1  onion, chopped",,
16660,2 tablespoons Thai red curry paste,2366,tablespoon,Thai red curry paste,2,2 tablespoons Thai red curry paste,,
16661,1 tablespoon grated ginger,2366,tablespoon,ginger,1,1 tablespoon grated ginger,,
16662,1 tablespoon grated garlic,2366,tablespoon,garlic,1,1 tablespoon grated garlic,,
16663,1 (32 fluid ounce) container vegetable broth,2366,,vegetable broth,1,1 (32 fluid ounce) container vegetable broth,,
16664,1 (14 ounce) can coconut milk,2366,,coconut milk,1,1 (14 ounce) can coconut milk,,
16665,1 tablespoon white sugar,2366,tablespoon,white sugar,1,1 tablespoon white sugar,,
16666,"1 (12 ounce) package extra-firm tofu, cut into small cubes",2366,,tofu,1,"1 (12 ounce) package extra-firm tofu, cut into small cubes",,
16667,"4 ounces broccoli, chopped into bite-sized pieces",2366,ounce,broccoli,4,"4 ounces broccoli, chopped into bite-sized pieces",,
16668,"4 ounces cauliflower florets, cut into bite-sized pieces",2366,ounce,cauliflower florets,4,"4 ounces cauliflower florets, cut into bite-sized pieces",,
16669,"4 ounces mushrooms, cut into bite-size pieces",2366,ounce,mushrooms,4,"4 ounces mushrooms, cut into bite-size pieces",,
16670,1 pinch salt and ground black pepper to taste,2366,pinch,salt and ground black pepper,1,1 pinch salt and ground black pepper to taste,,
16671,"1 ½ pounds white peaches, pitted and shopped",3180,,,,"1 1/2 pounds white peaches, pitted and shopped",,
16672,½ tablespoon lavender honey,3180,tablespoon,lavender honey,2-Jan,1/2 tablespoon lavender honey,,
16673,5 sprigs lavender flowers,3180,sprig,lavender flowers,5,5 sprigs lavender flowers,,
16674,1 ¼ cups graham cracker crumbs,1588,,,,1 1/4 cups graham cracker crumbs,,
16675,"6 tablespoons vegan buttery sticks, melted",1588,tablespoon,"vegan buttery sticks, melted",6,"6 tablespoons vegan buttery sticks, melted",,
16676,2 tablespoons powdered sugar,1588,tablespoon,sugar,2,2 tablespoons powdered sugar,,
16677,2 (8 ounce) containers nondairy soy cream cheese substitute,1588,,(8 ounce) containers nondairy soy cream cheese substitute,2,2 (8 ounce) containers nondairy soy cream cheese substitute,,
16678,½ cup powdered sugar,1588,cup,sugar,2-Jan,1/2 cup powdered sugar,,
16679,"¾ cup Almond Breeze Vanilla almondmilk, divided",1588,cup,Almond Breeze Vanilla almondmilk,4-Mar,"3/4 cup Almond Breeze Vanilla almondmilk, divided",,
16680,2 pkg. (4 serving size)  white chocolate instant pudding mix,1588,,,,2 pkg. (4 serving size)  white chocolate instant pudding mix,,
16681,1 (21 ounce) can cherry pie filling,1588,,(21 ounce) can cherry pie filling,1,1 (21 ounce) can cherry pie filling,,
16682,1 cup sliced fresh strawberries,1588,cup,strawberries,1,1 cup sliced fresh strawberries,,
16683,¾ cup vegan mayonnaise,2590,cup,vegan mayonnaise,4-Mar,3/4 cup vegan mayonnaise,,
16684,¼ cup olive oil,2590,cup,olive oil,4-Jan,1/4 cup olive oil,,
16685,"3 cloves garlic, peeled",2590,clove,garlic,3,"3 cloves garlic, peeled",,
16686,1 tablespoon nutritional yeast,2590,tablespoon,nutritional yeast,1,1 tablespoon nutritional yeast,,
16687,2 teaspoons lemon juice,2590,teaspoon,lemon juice,2,2 teaspoons lemon juice,,
16688,1 teaspoon vegan Worcestershire sauce,2590,teaspoon,Worcestershire sauce,1,1 teaspoon vegan Worcestershire sauce,,
16689,1 teaspoon Dijon mustard,2590,teaspoon,Dijon mustard,1,1 teaspoon Dijon mustard,,
16690,1 teaspoon capers,2590,teaspoon,capers,1,1 teaspoon capers,,
16691,½ teaspoon salt,2590,teaspoon,salt,2-Jan,1/2 teaspoon salt,,
16692,1 tablespoon unsalted butter or margarine,2088,tablespoon,unsalted butter,1,1 tablespoon unsalted butter or margarine,,
16693,1 tablespoon olive oil,2088,tablespoon,olive oil,1,1 tablespoon olive oil,,
16694,"1  onion, thinly sliced",2088,,,,"1  onion, thinly sliced",,
16695,"2 large garlic cloves, peeled and crushed",2088,clove,garlic,2,"2 large garlic cloves, peeled and crushed",,
16696,2 (28 ounce) cans whole peeled tomatoes,2088,,(28 ounce) cans whole peeled tomatoes,2,2 (28 ounce) cans whole peeled tomatoes,,
16697,1 cup water,2088,cup,water,1,1 cup water,,
16698,1 tablespoon sugar,2088,tablespoon,sugar,1,1 tablespoon sugar,,
16699,"1 teaspoon salt, plus more to taste",2088,teaspoon,salt,1,"1 teaspoon salt, plus more to taste",,
16700,freshly ground black pepper to taste,2088,,black pepper,,freshly ground black pepper to taste,,
16701,1 pinch red pepper flakes,2088,pinch,red pepper flakes,1,1 pinch red pepper flakes,,
16702,¼ teaspoon celery seed,2088,teaspoon,celery seed,4-Jan,1/4 teaspoon celery seed,,
16703,¼ teaspoon dried oregano,2088,teaspoon,oregano,4-Jan,1/4 teaspoon dried oregano,,
16704,1 cup pearl barley,217,cup,pearl barley,1,1 cup pearl barley,,
16705,2 cups water,217,cup,water,2,2 cups water,,
16706,"½ (15 ounce) can black beans, rinsed and drained",217,,can black beans,2-Jan,"1/2 (15 ounce) can black beans, rinsed and drained",,
16707,"½  green bell pepper, chopped",217,,,,"1/2  green bell pepper, chopped",,
16708,"½  red bell pepper, chopped",217,,,,"1/2  red bell pepper, chopped",,
16709,"1 (8.75 ounce) can whole kernel corn, drained",217,,,1,"1 (8.75 ounce) can whole kernel corn, drained",,
16710,"1 stalk celery, chopped",217,stalk,celery,1,"1 stalk celery, chopped",,
16711,"1 small red onion, chopped",217,,red onion,1,"1 small red onion, chopped",,
16712,"1 large carrot, chopped",217,,carrot,1,"1 large carrot, chopped",,
16713,"¾  chipotle pepper in adobo sauce, finely chopped, or to taste",217,,,,"3/4  chipotle pepper in adobo sauce, finely chopped, or to taste",,
16714,1 tablespoon canola oil,217,tablespoon,canola oil,1,1 tablespoon canola oil,,
16715,½ teaspoon salt,217,teaspoon,salt,2-Jan,1/2 teaspoon salt,,
16716,½ teaspoon ground black pepper,217,teaspoon,black pepper,2-Jan,1/2 teaspoon ground black pepper,,
16717,½ teaspoon ground cumin,217,teaspoon,cumin,2-Jan,1/2 teaspoon ground cumin,,
16718,¼ cup water,217,cup,water,4-Jan,1/4 cup water,,
16719,"2 tablespoons light corn syrup, or to taste",217,tablespoon,light corn syrup,2,"2 tablespoons light corn syrup, or to taste",,
16720,"1 tablespoon canola oil, or to taste",217,tablespoon,canola oil,1,"1 tablespoon canola oil, or to taste",,
16721,"1 tablespoon lime juice, or to taste",217,tablespoon,lime juice,1,"1 tablespoon lime juice, or to taste",,
16722,"1 tablespoon lemon juice, or to taste",217,tablespoon,lemon juice,1,"1 tablespoon lemon juice, or to taste",,
16723,¼ cup chopped fresh cilantro,217,cup,cilantro,4-Jan,1/4 cup chopped fresh cilantro,,
16724,"1 teaspoon distilled white vinegar, or to taste",217,teaspoon,white vinegar,1,"1 teaspoon distilled white vinegar, or to taste",,
16725,"onion powder, or to taste",217,,onion powder,,"onion powder, or to taste",,
16726,2 cups cooked cauliflower rice,1894,cup,cauliflower rice,2,2 cups cooked cauliflower rice,,
16727,"4 ounces roasted red peppers, drained and chopped",1894,ounce,red peppers,4,"4 ounces roasted red peppers, drained and chopped",,
16728,3 tablespoons lemon juice,1894,tablespoon,lemon juice,3,3 tablespoons lemon juice,,
16729,3 tablespoons tahini,1894,tablespoon,tahini,3,3 tablespoons tahini,,
16730,"1 clove garlic, roughly chopped",1894,clove,garlic,1,"1 clove garlic, roughly chopped",,
16731,½ teaspoon cayenne pepper,1894,teaspoon,cayenne pepper,2-Jan,1/2 teaspoon cayenne pepper,,
16732,½ teaspoon cumin,1894,teaspoon,cumin,2-Jan,1/2 teaspoon cumin,,
16733,½ teaspoon sea salt,1894,teaspoon,sea salt,2-Jan,1/2 teaspoon sea salt,,
16734,2  green plantains,1894,,,,2  green plantains,,
16735,"2 tablespoons avocado oil, or as needed",1894,tablespoon,avocado oil,2,"2 tablespoons avocado oil, or as needed",,
16736,¼ teaspoon cayenne pepper,1894,teaspoon,cayenne pepper,4-Jan,1/4 teaspoon cayenne pepper,,
16737,¼ teaspoon smoked paprika,1894,teaspoon,smoked paprika,4-Jan,1/4 teaspoon smoked paprika,,
16738,sea salt to taste,1894,,sea salt,,sea salt to taste,,
16739,2 ½ cups water,2904,,,,2 1/2 cups water,,
16740,1 cup steel-cut oats,2904,cup,steel-cut oats,1,1 cup steel-cut oats,,
16741,1 cup almond milk,2904,cup,almond milk,1,1 cup almond milk,,
16742,1 cup canned pumpkin puree,2904,cup,pumpkin puree,1,1 cup canned pumpkin puree,,
16743,1 teaspoon vanilla extract,2904,teaspoon,vanilla extract,1,1 teaspoon vanilla extract,,
16744,1 teaspoon pumpkin pie spice,2904,teaspoon,pumpkin pie spice,1,1 teaspoon pumpkin pie spice,,
16745,¼ teaspoon salt,2904,teaspoon,salt,4-Jan,1/4 teaspoon salt,,
16746,1 cup warm water,1917,cup,water,1,1 cup warm water,,
16747,3 tablespoons flax seeds,1917,tablespoon,flax seeds,3,3 tablespoons flax seeds,,
16748,¾ cup agave nectar,1917,cup,agave nectar,4-Mar,3/4 cup agave nectar,,
16749,"2 (1 ounce) squares unsweetened chocolate, chopped",1917,,(1 ounce) squares unsweetened chocolate,2,"2 (1 ounce) squares unsweetened chocolate, chopped",,
16750,1 teaspoon vanilla extract,1917,teaspoon,vanilla extract,1,1 teaspoon vanilla extract,,
16751,1 cup rye flour,1917,cup,rye flour,1,1 cup rye flour,,
16752,¾ cup cacao nibs,1917,cup,cacao nibs,4-Mar,3/4 cup cacao nibs,,
16753,¾ cup cacao powder,1917,cup,cacao powder,4-Mar,3/4 cup cacao powder,,
16754,½ cup brown rice flour,1917,cup,brown rice flour,2-Jan,1/2 cup brown rice flour,,
16755,½ cup walnuts,1917,cup,walnuts,2-Jan,1/2 cup walnuts,,
16756,1 tablespoon lecithin,1917,tablespoon,lecithin,1,1 tablespoon lecithin,,
16757,2 teaspoons baking powder,1917,teaspoon,baking powder,2,2 teaspoons baking powder,,
16758,½ teaspoon salt,1917,teaspoon,salt,2-Jan,1/2 teaspoon salt,,
16759,¾ cup all-purpose flour,2403,cup,all-purpose flour,4-Mar,3/4 cup all-purpose flour,,
16760,1 ¼ cups ground almonds,2403,,,,1 1/4 cups ground almonds,,
16761,"¾ cup packed brown sugar, divided",2403,cup,brown sugar,4-Mar,"3/4 cup packed brown sugar, divided",,
16762,½ cup butter,2403,cup,butter,2-Jan,1/2 cup butter,,
16763,1 ½ pounds tofu,2403,,,,1 1/2 pounds tofu,,
16764,⅔ cup vegetable oil,2403,cup,vegetable oil,,2/3 cup vegetable oil,,
16765,½ cup orange juice,2403,cup,orange juice,2-Jan,1/2 cup orange juice,,
16766,½ cup chocolate liqueur,2403,cup,chocolate liqueur,2-Jan,1/2 cup chocolate liqueur,,
16767,½ cup unsweetened cocoa powder,2403,cup,cocoa powder,2-Jan,1/2 cup unsweetened cocoa powder,,
16768,1 teaspoon almond extract,2403,teaspoon,almond extract,1,1 teaspoon almond extract,,
16769,"4  avocados - peeled, pitted and sliced",654,,,,"4  avocados - peeled, pitted and sliced",,
16770,½ cup salsa,654,cup,salsa,2-Jan,1/2 cup salsa,,
16771,¼ tablespoon garlic powder,654,tablespoon,garlic powder,4-Jan,1/4 tablespoon garlic powder,,
16772,½ teaspoon hot pepper sauce,654,teaspoon,hot pepper sauce,2-Jan,1/2 teaspoon hot pepper sauce,,
16773,1 pinch salt  (Optional),654,,,,1 pinch salt  (Optional),,
16774,"10 pounds roma tomatoes, sliced, or to taste",2622,pound,roma tomatoes,10,"10 pounds roma tomatoes, sliced, or to taste",,
16775,"4  red onions, sliced",2622,,,,"4  red onions, sliced",,
16776,2 tablespoons salt,2622,tablespoon,salt,2,2 tablespoons salt,,
16777,2 tablespoons freshly ground black pepper,2622,tablespoon,black pepper,2,2 tablespoons freshly ground black pepper,,
16778,2 cups olive oil,2622,cup,olive oil,2,2 cups olive oil,,
16779,1 ½ cups lemon juice,2622,,,,1 1/2 cups lemon juice,,
16780,"1 ½ bunches fresh cilantro, chopped",2622,,,,"1 1/2 bunches fresh cilantro, chopped",,
16781,"1  onion, chopped",711,,,,"1  onion, chopped",,
16782,5 cloves crushed garlic,711,clove,garlic,5,5 cloves crushed garlic,,
16783,"1 stalk celery, chopped",711,stalk,celery,1,"1 stalk celery, chopped",,
16784,1 tablespoon olive oil,711,tablespoon,olive oil,1,1 tablespoon olive oil,,
16785,8 ounces textured vegetable protein,711,ounce,textured vegetable protein,8,8 ounces textured vegetable protein,,
16786,4 (16 ounce) cans chili beans,711,,chili beans,4,4 (16 ounce) cans chili beans,,
16787,1 (14.5 ounce) can stewed tomatoes,711,,tomatoes,1,1 (14.5 ounce) can stewed tomatoes,,
16788,4 cups water,711,cup,water,4,4 cups water,,
16789,2 tablespoons brown sugar,711,tablespoon,brown sugar,2,2 tablespoons brown sugar,,
16790,salt and pepper to taste,711,,salt and pepper,,salt and pepper to taste,,
16791,2 teaspoons chili powder,711,teaspoon,chili powder,2,2 teaspoons chili powder,,
16792,⅓ cup freshly squeezed lemon juice,132,cup,lemon juice,,1/3 cup freshly squeezed lemon juice,,
16793,1 tablespoon pomegranate molasses,132,tablespoon,pomegranate molasses,1,1 tablespoon pomegranate molasses,,
16794,1 tablespoon white vinegar,132,tablespoon,white vinegar,1,1 tablespoon white vinegar,,
16795,1 teaspoon sumac powder  (Optional),132,,,,1 teaspoon sumac powder  (Optional),,
16796,salt and ground black pepper to taste,132,,salt and black pepper,,salt and ground black pepper to taste,,
16797,1 cup halved cherry tomatoes,132,cup,cherry tomatoes,1,1 cup halved cherry tomatoes,,
16798,2 cups arugula leaves,132,cup,arugula leaves,2,2 cups arugula leaves,,
16799,¼ cup walnut halves,132,cup,walnut halves,4-Jan,1/4 cup walnut halves,,
16800,cooking spray,984,,cooking spray,,cooking spray,,
16801,3 tablespoons water,984,tablespoon,water,3,3 tablespoons water,,
16802,1 tablespoon flax seed meal,984,tablespoon,flax seed meal,1,1 tablespoon flax seed meal,,
16803,1 cup tapioca flour,984,cup,tapioca flour,1,1 cup tapioca flour,,
16804,½ cup potato starch,984,cup,potato starch,2-Jan,1/2 cup potato starch,,
16805,1 teaspoon baking powder,984,teaspoon,baking powder,1,1 teaspoon baking powder,,
16806,1 teaspoon salt,984,teaspoon,salt,1,1 teaspoon salt,,
16807,½ cup shredded mozzarella-style vegan cheese (such as Daiya®),984,,,,1/2 cup shredded mozzarella-style vegan cheese (such as Daiya®),,
16808,⅔ cup almond milk,984,cup,almond milk,,2/3 cup almond milk,,
16809,⅓ cup olive oil,984,cup,olive oil,,1/3 cup olive oil,,
16810,1 pound penne pasta,1712,pound,penne pasta,1,1 pound penne pasta,,
16811,1 cup extra virgin olive oil,1712,cup,extra virgin olive oil,1,1 cup extra virgin olive oil,,
16812,"7 cloves garlic, minced",1712,clove,garlic,7,"7 cloves garlic, minced",,
16813,7 (28 ounce) cans crushed tomatoes,1712,,tomatoes,7,7 (28 ounce) cans crushed tomatoes,,
16814,2 ½ teaspoons crushed red pepper flakes,1712,,,,2 1/2 teaspoons crushed red pepper flakes,,
16815,2  bay leaves,1712,,,,2  bay leaves,,
16816,10 leaves fresh basil,1712,,basil,10,10 leaves fresh basil,,
